                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                0.87399,                0.75155,                 1.1281,                0.86488,                0.70408,                0.77695,                0.47764,                 1.4075,                0.84896,                 1.5295,              0.0032185,              0.0032185,              0.0032185
                    140,                0.85307,                0.73552,                 1.1182,                0.87972,                0.69706,                0.77782,                0.46686,                 1.4462,                 0.8575,                 1.5637,               0.003169,               0.003169,               0.003169
                    141,                0.85657,                0.72928,                 1.1159,                0.87639,                0.70336,                0.77886,                0.45777,                 1.4839,                0.84524,                 1.5985,              0.0031195,              0.0031195,              0.0031195
                    142,                0.85498,                0.72361,                 1.1182,                0.88132,                0.70268,                0.78653,                0.48436,                 1.3829,                0.84587,                 1.5011,                0.00307,                0.00307,                0.00307
                    143,                0.85565,                0.74156,                 1.1237,                0.90463,                0.69589,                 0.7781,                0.47082,                 1.4246,                0.85247,                 1.5389,              0.0030205,              0.0030205,              0.0030205
                    144,                0.84148,                0.72559,                 1.1156,                0.90286,                 0.6904,                 0.7797,                0.46234,                 1.4798,                 0.8759,                 1.5947,               0.002971,               0.002971,               0.002971
                    145,                0.85373,                0.72993,                 1.1193,                0.88993,                0.70255,                0.78798,                0.47892,                 1.4321,                 0.8459,                 1.5353,              0.0029215,              0.0029215,              0.0029215
                    146,                0.84624,                0.72059,                 1.1139,                0.88024,                0.69801,                0.78777,                0.48283,                 1.4045,                 0.8567,                 1.5154,               0.002872,               0.002872,               0.002872
                    147,                0.84388,                0.71952,                 1.1103,                0.85936,                 0.6933,                0.78059,                0.48038,                 1.3969,                0.84411,                 1.5138,              0.0028225,              0.0028225,              0.0028225
                    148,                0.83091,                0.70777,                 1.1092,                0.89812,                 0.6957,                 0.7877,                0.48015,                 1.4186,                 0.8437,                 1.5446,               0.002773,               0.002773,               0.002773
                    149,                0.84467,                0.71722,                 1.1036,                0.89614,                0.69454,                0.78705,                0.46766,                 1.4329,                0.84716,                 1.5686,              0.0027235,              0.0027235,              0.0027235
                    150,                0.83301,                0.70971,                  1.107,                0.88691,                0.69838,                0.78531,                0.48116,                 1.4105,                0.85415,                 1.5332,               0.002674,               0.002674,               0.002674
                    151,                 0.8361,                0.70839,                 1.1067,                0.90647,                0.70466,                0.78943,                 0.4797,                   1.43,                0.84486,                 1.5496,              0.0026245,              0.0026245,              0.0026245
